tract,ams_res,res_vac,nostat_res,pct_residential_vacant,pct_no_stat,pct_vacant_12mo_plus,period
48141000114,1622,21,2,0.012946979038224414,0.0012330456226880395,0.9523809523809523,2026-03
48141000204,2004,42,4,0.020958083832335328,0.001996007984031936,0.6666666666666666,2024-12
48141000204,2004,47,4,0.023453093812375248,0.001996007984031936,0.5531914893617021,2025-03
48141000204,2005,39,5,0.01945137157107232,0.0024937655860349127,0.717948717948718,2025-06
48141000204,2005,39,5,0.01945137157107232,0.0024937655860349127,0.717948717948718,2025-09
48141000204,2004,33,5,0.016467065868263474,0.00249500998003992,0.7878787878787878,2025-12
48141000204,2004,34,5,0.016966067864271458,0.00249500998003992,0.8529411764705882,2026-03
48141000205,2682,35,1031,0.013049962714392245,0.3844146159582401,0.6571428571428571,2024-12
48141000205,2683,36,1033,0.013417815877748788,0.3850167722698472,0.6388888888888888,2025-03
48141000205,2680,33,1030,0.012313432835820896,0.3843283582089552,0.7272727272727273,2025-06
48141000205,2717,33,1067,0.012145748987854251,0.39271255060728744,0.7878787878787878,2025-09
48141000205,2719,31,1065,0.01140125045972784,0.3916881206325855,0.8387096774193549,2025-12
48141000205,2719,34,1064,0.01250459727841118,0.39132033835969104,0.8235294117647058,2026-03
48141000206,1708,28,2,0.01639344262295082,0.00117096018735363,0.8571428571428571,2024-12
48141000206,1708,28,2,0.01639344262295082,0.00117096018735363,0.7142857142857143,2025-03
48141000206,1708,30,2,0.01756440281030445,0.00117096018735363,0.6666666666666666,2025-06
48141000206,1708,30,2,0.01756440281030445,0.00117096018735363,0.7,2025-09
48141000206,1708,26,2,0.01522248243559719,0.00117096018735363,0.8076923076923077,2025-12
48141000206,1708,26,2,0.01522248243559719,0.00117096018735363,0.9230769230769231,2026-03
48141000207,1706,25,4,0.014654161781946073,0.0023446658851113715,0.8,2024-12
48141000207,1706,26,4,0.015240328253223915,0.0023446658851113715,0.8461538461538461,2025-03
48141000207,1706,27,4,0.015826494724501757,0.0023446658851113715,0.8148148148148148,2025-06
48141000207,1706,27,4,0.015826494724501757,0.0023446658851113715,0.9259259259259259,2025-09
48141000207,1706,23,4,0.013481828839390387,0.0023446658851113715,0.9565217391304348,2025-12
48141000207,1741,27,5,0.015508328546812177,0.002871912693854107,0.9629629629629629,2026-03
48141000208,1576,55,54,0.03489847715736041,0.03426395939086294,0.7090909090909091,2024-12
48141000208,1576,53,54,0.03362944162436548,0.03426395939086294,0.7547169811320755,2025-03
48141000208,1576,51,54,0.03236040609137056,0.03426395939086294,0.8235294117647058,2025-06
48141000208,1577,48,54,0.030437539632213063,0.03424223208623969,0.875,2025-09
48141000208,1577,48,54,0.030437539632213063,0.03424223208623969,0.9375,2025-12
48141000208,1797,80,56,0.044518642181413465,0.031163049526989426,0.975,2026-03
48141000301,2514,94,41,0.03739061256961018,0.016308671439936355,0.9361702127659575,2024-12
48141000301,2521,95,42,0.03768345894486315,0.016660055533518445,0.9263157894736842,2025-03
48141000301,2524,95,44,0.03763866877971474,0.017432646592709985,0.9368421052631579,2025-06
48141000301,2524,93,37,0.036846275752773376,0.014659270998415214,0.978494623655914,2025-09
48141000301,2524,91,37,0.036053882725832015,0.014659270998415214,0.978021978021978,2025-12
48141000301,2552,88,35,0.034482758620689655,0.01371473354231975,0.9886363636363636,2026-03
48141000302,1856,41,21,0.02209051724137931,0.011314655172413793,0.926829268292683,2024-12
48141000302,1856,39,21,0.02101293103448276,0.011314655172413793,0.9487179487179487,2025-03
48141000302,1857,40,21,0.021540118470651588,0.011308562197092083,0.925,2025-06
48141000302,1857,39,21,0.0210016155088853,0.011308562197092083,1.0,2025-09
48141000302,1857,39,21,0.0210016155088853,0.011308562197092083,0.9743589743589743,2025-12
48141000302,1857,39,21,0.0210016155088853,0.011308562197092083,0.9743589743589743,2026-03
48141000401,2691,46,10,0.017094017094017096,0.0037160906726124115,0.8478260869565217,2024-12
48141000401,2690,46,9,0.017100371747211896,0.003345724907063197,0.8913043478260869,2025-03
48141000401,2690,45,9,0.016728624535315983,0.003345724907063197,0.9333333333333333,2025-06
48141000401,2690,43,9,0.015985130111524165,0.003345724907063197,0.9767441860465116,2025-09
48141000401,2690,40,9,0.01486988847583643,0.003345724907063197,1.0,2025-12
48141000401,2448,38,9,0.015522875816993464,0.003676470588235294,1.0,2026-03
48141000403,2516,24,1269,0.009538950715421303,0.5043720190779014,0.8333333333333334,2024-12
48141000403,2511,24,1267,0.009557945041816009,0.5045798486658701,0.8333333333333334,2025-03
48141000403,2514,23,1267,0.009148766905330152,0.5039777247414479,0.9130434782608695,2025-06
48141000403,2521,23,1269,0.009123363744545815,0.503371677905593,0.9130434782608695,2025-09
48141000403,2522,19,1270,0.00753370340999207,0.5035685963521015,1.0,2025-12
48141000403,2523,18,1271,0.007134363852556481,0.5037653586999604,1.0,2026-03
48141000404,1668,80,216,0.047961630695443645,0.12949640287769784,0.95,2024-12
48141000404,1958,79,503,0.04034729315628192,0.2568947906026558,0.9620253164556962,2025-03
48141000404,1961,79,505,0.04028556858745538,0.2575216726160122,0.9620253164556962,2025-06
48141000404,1822,76,355,0.04171240395170143,0.19484083424807905,0.9605263157894737,2025-09
48141000404,1823,71,347,0.038946791003839826,0.19034558420186506,0.9859154929577465,2025-12
48141000404,1823,71,341,0.038946791003839826,0.1870543060888645,0.9859154929577465,2026-03
48141000600,1716,44,15,0.02564102564102564,0.008741258741258742,1.0,2024-12
48141000600,1718,45,15,0.02619324796274738,0.008731082654249126,0.9777777777777777,2025-03
48141000600,1719,45,15,0.02617801047120419,0.008726003490401396,0.9777777777777777,2025-06
48141000600,1719,45,15,0.02617801047120419,0.008726003490401396,0.9777777777777777,2025-09
48141000600,1719,41,15,0.02385107620709715,0.008726003490401396,0.975609756097561,2025-12
48141000600,1719,39,12,0.02268760907504363,0.006980802792321117,1.0,2026-03
48141000800,2849,103,592,0.03615303615303615,0.2077922077922078,0.912621359223301,2024-12
48141000800,2850,104,590,0.036491228070175435,0.20701754385964913,0.9134615384615384,2025-03
48141000800,2853,105,593,0.03680336487907466,0.20785138450753593,0.9142857142857143,2025-06
48141000800,2856,105,596,0.03676470588235294,0.20868347338935575,0.9047619047619048,2025-09
48141000800,2859,99,599,0.03462749213011543,0.20951381601958727,0.9292929292929293,2025-12
48141000800,3100,97,598,0.03129032258064516,0.1929032258064516,0.9587628865979382,2026-03
48141000901,1751,72,13,0.041119360365505425,0.0074243289548829245,0.9444444444444444,2024-12
48141000901,1751,73,13,0.04169046259280411,0.0074243289548829245,0.9315068493150684,2025-03
48141000901,1751,74,13,0.0422615648201028,0.0074243289548829245,0.9459459459459459,2025-06
48141000901,1751,76,13,0.043403769274700174,0.0074243289548829245,0.9342105263157895,2025-09
48141000901,1751,70,13,0.03997715591090805,0.0074243289548829245,0.8857142857142857,2025-12
48141000901,1751,68,12,0.038834951456310676,0.006853226727584237,0.8823529411764706,2026-03
48141000902,2252,72,1073,0.03197158081705151,0.47646536412078155,0.9861111111111112,2024-12
48141000902,2252,73,1073,0.03241563055062167,0.47646536412078155,0.9726027397260274,2025-03
48141000902,2252,74,1073,0.03285968028419183,0.47646536412078155,0.9594594594594594,2025-06
48141000902,2252,75,1073,0.03330373001776199,0.47646536412078155,0.9466666666666667,2025-09
48141000902,2252,77,1073,0.034191829484902306,0.47646536412078155,0.935064935064935,2025-12
48141000902,2252,76,1073,0.03374777975133215,0.47646536412078155,0.9736842105263158,2026-03
48141001001,1279,51,9,0.0398749022673964,0.007036747458952306,0.7843137254901961,2024-12
48141001001,1279,52,9,0.040656763096168884,0.007036747458952306,0.8269230769230769,2025-03
48141001001,1279,51,9,0.0398749022673964,0.007036747458952306,0.9215686274509803,2025-06
48141001001,1279,51,9,0.0398749022673964,0.007036747458952306,0.9607843137254902,2025-09
48141001001,1279,48,9,0.03752931978107897,0.007036747458952306,0.9583333333333334,2025-12
48141001001,1279,44,9,0.03440187646598905,0.007036747458952306,0.9545454545454546,2026-03
48141001002,1438,43,29,0.029902642559109873,0.020166898470097356,0.8604651162790697,2024-12
48141001002,1438,43,29,0.029902642559109873,0.020166898470097356,0.9069767441860465,2025-03
48141001002,1440,45,29,0.03125,0.02013888888888889,0.9111111111111111,2025-06
48141001002,1440,43,35,0.029861111111111113,0.024305555555555556,0.9069767441860465,2025-09
48141001002,1440,42,35,0.029166666666666667,0.024305555555555556,0.8809523809523809,2025-12
48141001002,1446,44,35,0.030428769017980636,0.024204702627939143,0.8636363636363636,2026-03
48141001107,2698,17,4,0.006300963676797628,0.0014825796886582653,0.8823529411764706,2024-12
48141001107,2699,18,5,0.006669136717302705,0.001852537977028529,0.8333333333333334,2025-03
48141001107,2699,15,5,0.005557613931085587,0.001852537977028529,0.8666666666666667,2025-06
48141001107,2699,15,5,0.005557613931085587,0.001852537977028529,0.8666666666666667,2025-09
48141001107,2699,9,5,0.0033345683586513525,0.001852537977028529,0.8888888888888888,2025-12
48141001107,2699,9,5,0.0033345683586513525,0.001852537977028529,0.8888888888888888,2026-03
48141001109,2053,15,17,0.007306380905991232,0.008280565026790063,0.8666666666666667,2024-12
48141001109,2052,17,16,0.008284600389863547,0.007797270955165692,0.7647058823529411,2025-03
48141001109,2052,17,16,0.008284600389863547,0.007797270955165692,0.7647058823529411,2025-06
48141001109,2052,17,16,0.008284600389863547,0.007797270955165692,0.8823529411764706,2025-09
48141001109,2052,10,13,0.004873294346978557,0.006335282651072124,0.7,2025-12
48141001109,2052,7,14,0.00341130604288499,0.00682261208576998,0.8571428571428571,2026-03
48141001110,2248,36,2,0.01601423487544484,0.0008896797153024911,0.9166666666666666,2024-12
48141001110,2248,39,2,0.017348754448398576,0.0008896797153024911,0.8461538461538461,2025-03
48141001110,2249,38,2,0.016896398399288574,0.0008892841262783459,0.868421052631579,2025-06
48141001110,2249,38,2,0.016896398399288574,0.0008892841262783459,0.9210526315789473,2025-09
48141001110,2249,33,1,0.014673188083592708,0.00044464206313917296,1.0,2025-12
48141001110,2249,29,1,0.012894619831036016,0.00044464206313917296,1.0,2026-03
48141001111,2981,67,24,0.02247567930224757,0.008050989600805098,0.8955223880597015,2024-12
48141001111,2983,67,23,0.022460610124036204,0.0077103586992960105,0.8955223880597015,2025-03
48141001111,2983,66,23,0.02212537713711029,0.0077103586992960105,0.8939393939393939,2025-06
48141001111,2985,63,23,0.021105527638190954,0.007705192629815745,1.0,2025-09
48141001111,2985,49,21,0.01641541038525963,0.007035175879396985,1.0,2025-12
48141001111,2907,45,20,0.015479876160990712,0.0068799449604403165,1.0,2026-03
48141001112,2045,57,7,0.02787286063569682,0.0034229828850855745,0.8596491228070176,2024-12
48141001112,2037,58,7,0.02847324496809033,0.003436426116838488,0.8448275862068966,2025-03
48141001112,2037,59,7,0.028964162984781543,0.003436426116838488,0.8813559322033898,2025-06
48141001112,2037,59,7,0.028964162984781543,0.003436426116838488,0.9491525423728814,2025-09
48141001112,2037,56,7,0.027491408934707903,0.003436426116838488,0.9464285714285714,2025-12
48141001112,2037,47,7,0.023073146784486992,0.003436426116838488,0.9574468085106383,2026-03
48141001114,2650,46,116,0.017358490566037735,0.04377358490566038,0.9347826086956522,2024-12
